0x40;IN B, (C)
0x41;OUT (C), B
0x42;SBC HL, BC
0x43;LD ({0:04X}H), BC
0x44;NEG
0x45;RETN
0x46;IM 0
0x47;LD I, A
0x48;IN C, (C)
0x49;OUT (C), C
0x4A;ADC HL, BC
0x4B;LD BC, ({0:04X}H)
0x4D;RETI
0x4F;LD R, A
0x50;IN D, (C)
0x51;OUT (C), D
0x52;SBC HL, DE
0x53;LD ({0:04X}H), DE
0x56;IM 1
0x57;LD A, I
0x58;IN E, (C)
0x59;OUT (C), E
0x5A;ADC HL, DE
0x5B;LD DE, ({0:04X}H)
0x5E;IM 2
0x5F;LD A, R
0x60;IN H, (C)
0x61;OUT (C), H
0x62;SBC HL, HL
0x63;LD ({0:04X}H), HL
0x67;RRD
0x68;IN L, (C)
0x69;OUT (C), L
0x6A;ADC HL, HL
0x6B;LD HL, ({0:04X}H)
0x6F;RLD
0x70;IN (C)
0x71;OUT (C), 0
0x72;SBC HL, SP
0x73;LD ({0:04X}H), SP
0x78;IN A, (C)
0x79;OUT (C), A
0x7A;ADC HL, SP
0x7B;LD SP, ({0:04X}H)
0xA0;LDI
0xA1;CPI
0xA2;INI
0xA3;OUTI
0xA8;LDD
0xA9;CPD
0xAA;IND
0xAB;OUTD
0xB0;LDIR
0xB1;CPIR
0xB2;INIR
0xB3;OTIR
0xB8;LDDR
0xB9;CPDR
0xBA;INDR
0xBB;OTDR
