0x09;ADD IY, BC
0x19;ADD IY, DE
0x21;LD IY, {0:04X}
0x22;LD ({0:04X}), IY
0x23;INC IY
0x24;INC IYH
0x25;DEC IYH
0x26;LD IYH, {0:02X}
0x29;ADD IY, IY
0x2A;LD IY, ({0:04X})
0x2B;DEC IY
0x2C;INC IYL
0x2D;DEC IYL
0x2E;LD IYL, {0:02X}
0x34;INC (IY+{0:02X})
0x35;DEC (IY+{0:02X})
0x36;LD (IY+{0:02X}), {1:02X}
0x39;ADD IY, SP
0x44;LD B, IYH
0x45;LD B, IYL
0x46;LD B, (IY+{0:02X})
0x4C;LD C, IYH
0x4D;LD C, IYL
0x4E;LD C, (IY+{0:02X})
0x54;LD D, IYH
0x55;LD D, IYL
0x56;LD D, (IY+{0:02X})
0x5C;LD E, IYH
0x5D;LD E, IYL
0x5E;LD E, (IY+{0:02X})
0x60;LD IYH, B
0x61;LD IYH, C
0x62;LD IYH, D
0x63;LD IYH, E
0x64;LD IYH, IYH
0x65;LD IYH, IYL
0x66;LD H, (IY+{0:02X})
0x67;LD IYH, A
0x68;LD IYL, B
0x69;LD IYL, C
0x6A;LD IYL, D
0x6B;LD IYL, E
0x6C;LD IYL, IYH
0x6D;LD IYL, IYL
0x6E;LD L, (IY+{0:02X})
0x6F;LD IYL, A
0x70;LD (IY+{0:02X}), B
0x71;LD (IY+{0:02X}), C
0x72;LD (IY+{0:02X}), D
0x73;LD (IY+{0:02X}), E
0x74;LD (IY+{0:02X}), H
0x75;LD (IY+{0:02X}), L
0x77;LD (IY+{0:02X}), A
0x7C;LD A, IYH
0x7D;LD A, IYL
0x7E;LD A, (IY+{0:02X})
0x84;ADD A, IYH
0x85;ADD A, IYL
0x86;ADD A, (IY+{0:02X})
0x8C;ADC A, IYH
0x8D;ADC A, IYL
0x8E;ADC A, (IY+{0:02X})
0x94;SUB IYH
0x95;SUB IYL
0x96;SUB (IY+{0:02X})
0x9C;SBC A, IYH
0x9D;SBC A, IYL
0x9E;SBC A, (IY+{0:02X})
0xA4;AND IYH
0xA5;AND IYL
0xA6;AND (IY+{0:02X})
0xAC;XOR IYH
0xAD;XOR IYL
0xAE;XOR (IY+{0:02X})
0xB4;OR IYH
0xB5;OR IYL
0xB6;OR (IY+{0:02X})
0xBC;CP IYH
0xBD;CP IYL
0xBE;CP (IY+{0:02X})
0xE1;POP IY
0xE3;EX (SP), IY
0xE5;PUSH IY
0xE9;JP (IY)
0xF9;LD SP, IY
